Description,ASIN,Manufacturer,Product Info
,B07M9NKYVK,,"[{'Product': 'HANDMADE', 'Additional Info': 'Every product is handmade by the skilled artisans that will devote all their heart into making best quality authentic piece. We only use reliable hardware, high quality YKK zippers that will last for many years to come. Strong stitches assure the extra strength of the product. Every single detail in your leather good is made from the best quality materials.'}, {'Product': 'FULL GRAIN LEATHER', 'Additional Info': 'Exterior made from full grain cowhide which is the highest quality leather. Over time, full grain leather will look even better, get vintage-effect and develop a beautiful patina from being handled.'}, {'Product': 'FINEST DETAILS', 'Additional Info': 'Many say, “Your style is your identity”, and we agree. That’s why we reinforced each long leather swath with abundant stitching, then adorned it with premium details like real brass accoutrements, high quality zippers, and a silky adjustable strap, alerting anyone in the know that you’re a person who values superior function, timeless fashion, and an impeccable attention to detail.'}, {'Product': 'MADE WITH LOVE', 'Additional Info': ""WildHorn is a handmade leather goods' brand built on love, integrity and respect.""}, {'Product': 'WEAR WITH CONFIDENCE', 'Additional Info': 'Each and every product goes through quality check before dispatching, to make sure you will receive the best quality piece. After quality check process every product gets handwritten and wax stamped certificate and leather care instruction.'}, {'Product': 'YEARS OF EXPERIENCE', 'Additional Info': 'A Wildhorn bag is not an accessory of the season, but a companion for life. Its skin is an empty canvas that will get scarred throughout the years, and that’s what will make it truly beautiful and unique - the marks from your life and experiences that tell your personal story.'}]"
,,B0B466YD7L,"Edgy, enduring, eclectic bags for the journey called life"
"['Outer material: synthetic, color: black; Waterproof', 'Capacity: 20 liters; Weight: 560 grams; Dimensions: 48 cms x 32 cms x 14 cms (LxWxH)', 'Number of compartments: 2', 'Laptop compatibility: yes, laptop size: 16strap type: adjustable', 'Special Features: Back Padding; Closure Type: Zipper; Age Range Description: Adult; Pocket Description: Utility Pocket', 'Concealed quick access Pockets on back panel ,Adjustable Anti sweat padded Shoulder straps , Padded Laptop sleeve,2 External Pockets, Padded Back Panel Cushioned with Anti Sweat Fabric,Embedded Organizer , USB and Headphone cable slot .']",,Gear Merchandise PVT LTD,[]
"['Care Instructions: Hand Wash Only', 'Ergonomic Shape : Spacious Compartments : Intuitive Access', 'Water Resistant Fabric : Cushioned Grab Handle : Padded Base : Optimized Back Panel with Premium Cushioning & Airflow Mechanism : Padded 360 Laptop Sleeve with Velcro Fastener : Premium Long Lasting Zippers & Pullers', 'Fits Laptop up to 17"" : Elasticated Bottle Pocket : Embedded Organiser : Elasticated Trolley Sleeve on Back Panel']",LBPLOGIQ0113,,Each Gear Bag is born in our in-house design & prototyping studio & characterises a recognisable aesthetic & functionality
"['Care Instructions: Hand Wash Only', 'Fit Type: regular', 'DIMENSIONS: 35 Cm x 26 Cm x 48 Cm, CAPACITY: 42 Liters', 'NUMBER OF COMPARTMENTS: 2 full size compartments, 1 front zippers & 2 side pockets, LAPTOP COMPARTMENT: Padded laptop compartment with elasticated strap lock,LAPTOP SIZE: 13 to 15.6 inches', 'MATERIAL: Polyester, COLOR: Green & bBlack', 'SPECIAL FEATURES: Ergonomic design, lightweight, padded breathable mesh back with adjustable S-Curved shoulder straps which protects the backbone and help to relieve stress on shoulders, smooth & durable zippers, padded haul loop, 2 bottle/ umbrella easy access pockets, 1 front stationary pockets, rain cover in the back pocket', 'CONSUMER: Suitable for men, women, students, boys & girls, can be used as school, college, office or day travelling backpacks, WARRANTY: 12 Months, Make in India product']",B0BMQ2HXYP,,[]
,Curiosity,,"[{'Product': 'Backpack for Every Needs', 'Additional Info': 'This MADE IN INDIA Product features 2 large zippered compartments, 2 water bottle /umbrella pockets, Rain cover, Padded Laptop Compartment with 360° Protection, Top padded Handle for comfort, Reflective Stickers & Brand Logo for safety while travelling at night. Its ergonomics comfortable design makes you forget the load you are carrying,'}, {'Product': 'Space & Comfort', 'Additional Info': 'This laptop backpack comes with two spacious zippered compartments which can accommodate your notebooks and other essentials with ease. This casual bag has Wide, Padded and Adjustable shoulder straps and Padded Back for comfort in carrying heavy items. Stitched properly and Bartacks on every pressure point for extra durability.'}, {'Product': 'Small Pockets', 'Additional Info': 'This backpack features an Internal Organiser that is small pockets inside the front compartment for holding pens, ID cards, etc. These pockets are very useful in organizing your small day-to-day items.'}, {'Product': 'Rain / Dust Cover', 'Additional Info': 'This backpack includes a separate rain/dust cover which can be very handy. It keeps your valuables safe and secure from rain and dust and keeps the backpack neat and clean for a longer period of time.'}, {'Product': 'Proudly Made in India', 'Additional Info': ""Half Moon is proud to be an Indian Brand. We understand the importance of Indian manufacturing and supply chains. It is the time when we revive local industries that's why this bag is Made in India by Indians using Indian materials.""}, {'Product': 'Shipped Directly from Factory', 'Additional Info': 'Half Moon offers high quality bags at lowest prices. We offers bags directly from factory to the customer to provide the bag at lowest prices possible.'}]"
,SL5008-BLA,,"Quilted sling bag with quilted flap to be closed with a gold colored twist lock. Its belt is a combo of metal chain as well as PU. This is one of the most stylish and popular design of sling bags, suitable for both young girls and women. Stylish sling perfect for parties and clubbing, or for casual daily use."
"['Lightweight gym bags', 'Ergonomic Design', 'Durable', 'Size-(Hxlxw) Cm-(43x32x2) Cm::Gym Bags', 'Drawstring closure']",B07PC28YQ9,,The product will be an excellent pick for you. It ensures an easy maintenance.
"['Care Instructions: Hand Wash Only', 'Fit Type: regular', 'Large multi-compartment backpack with a padded sleeve for laptops, Holds up to 15 inches Laptop<br> <br>', 'Water Resistance PU Coated Durable Fabric, with padded back section for comfortable carry<br> <br>', 'Front Organizer compartments for pens, keys, and cell phone<br> <br>', 'Age Range Description: Adult; Strap Type: Cross-Body; Warranty Description: Warranty: 1 Year Warranty Against Manufacturing Defects.; Pattern Name: Solid; Closure Type: Zipper; Water Resistance Level: Water Resistant; Pocket Description: Utility Pocket <br>']",40051011046,,"[{'Product': 'Lock Type', 'Additional Info': 'Butterfly lock is the lock type for this backpack. This lock provides enhanced security.'}]"
,LBPCBLDKR0519,,Each Gear Bag is born in our in-house design & prototyping studio & characterises a recognisable aesthetic & functionality
"['Innovative Design: Utility of a Messenger Bag with Convenience of a Laptop Sleeve. Built with Premium Nylon Material with Impact resistant foam cushion and imported soft fur lining with 3D Foam Cushion Around which prevents scratches, Premium and Exquisite Zipper Closure.', 'Convenient, Comfortable and Elegant: Two Front Zipper Pocket to organize accessories has ample storage for your Power bank, Phone, charger, Tabs, cable, Pen, Notebook, etc. Comes with Adjustable & Removable Shoulder Strap for easy portability & Retractable Handle at top.', 'A much Safer Way to Carry Laptop: The bag is made of soft and environmentally friendly materials with reinforced edges and good padding of the main compartment offer well protection for your laptop.', 'COMPATIBLE for all major brands 13.3-Inch to 14-Inch Laptops.', 'Designed for most 13.3-Inch to 14-Inch Laptops and Ultrabook’s, Maximum Fit Size (Dimension- 37 X 27 X 5 CM), Super Light Weight: 490 Grams, and easy to use, practical design and exquisite workmanship.']",B07Y3DB5YZ,"AirCase, Istuff365, Godown No.H-3, Dharam Complex, Thane-421302",[]
"['Closure: Zipper', 'Outer Material Type: PU ; Inner Material Type: Faux Leather; Occasion Type: Casual', 'Strap: Padded Strap, Double Handle, Closure: Zip Closure', 'Capacity: 5 KG; Compartment:2; Pocket: 3 / Dimensions(LxBxH): 25 cm x12 cm x 30 cm', 'Usage: Simple yet chic design, this bag goes well with any outfit, in any occasions like work, business, daily travel, college or casual outings. The lightweight stylish design of this handbag goes with the trend even in the circle of young college going girls.', 'Lightweight: Pu Leather bags are not only classy but also lightweight. Our Handbag will not be heavy on your shoulder or hand. You can carry them for a long duration without hurting yourself. That being said, they are also strong and can handle the possible amount of weight you put in.']",India,,"Please be note that we sold hundrerds of bags on Daily basis, there is 0 .5% rate of manufacturing defect , If u have any Issue Related to the of Quality of the product , u are most welcome to replace it."
,40051011047,,"This Heavy Duty Laptop Backpack from Cosmus is a Multipurpose Backpack Bag - use it as school bag or regular casual backpack for daily use.  This large spacious school bag is ideal for class 7-10 standard students, spacious enough to hold all your books and other essentials items for projects and tiffin box and water bottle. Its padded shoulder straps is desimed for comfort and children can carry all essentials without any discomfort while on the move.Key Features High on quality and durability Attractive design Spacious to accommodate all essentials Padded Laptop Section Three main compartment, One front compartment Two side Mesh pockets Specifications Material - PU coated Polyester Fabric. Dimensions: 13 x 18 x 8.5 [inches] (WxHxD); Weight: 755 gms Suggestive Age - 8 Years"
,B07GCLJTZF,,[]
"['Closure: Zipper', 'PREMIUM MATERIAL: This stylish chest bag is made of waterproof TPU material. Comes in a shell structure with a front Rhombus design.', 'ORGANIZED DESIGN: Spaced compartment with one separate soft sleeve to hold iPad, phone, or notebook. Spacious enough to store accessories like a camera or short trip essentials. Multiple organized pockets to hold money wallet, power bank, mobile, charger, pens, cable, etc. Soft adjustable single shoulder strap to relieve the stress of shoulder. A strong sturdy handle to carry the bag with ease.', 'USB FEATURE: External USB port with built-in charging cable enables convenient charging by connecting your power bank with your electronic devices.', 'DIMENSIONS: 19 cms x 16 cms x 33 cms (LxWxH). The weight of the bag is 0.48 KG.', 'Outer Material Type: Synthetic']",China,,"[{'Product': 'ORGANISED DESIGN', 'Additional Info': 'Spaced compartment with one separate soft sleeve to hold iPad, phone, or notebook. Spacious enough to store accessories like a camera or short trip essentials. Multiple interior organized pockets to hold money wallet, power bank, mobile, charger, pens, cable, etc. Soft adjustable single shoulder strap to relieve the stress of shoulder. A strong sturdy handle to carry the bag with ease.'}, {'Product': 'PREMIUM MATERIAL', 'Additional Info': 'This stylish chest bag is made of waterproof TPU material. Comes in a shell structure with a front Rhombus design.'}, {'Product': 'USB FEATURE', 'Additional Info': 'External USB port with built-in charging cable enables convenient charging by connecting your power bank with your electronic devices.'}]"
,B07Y2BFJ1B,,"[{'Product': 'Comfortable for Kids', 'Additional Info': 'The toddler backpack features a friendly Cartoon Face, top hanging loop, crafted details, and a fun, matching zipper pull that’s designed for little hands.'}, {'Product': 'SPACIOUS COMPARTMENT', 'Additional Info': 'The backpack is designed in a form of which will be really treasured by your kid. The bright color is very eye catchy and your kid will love to carry with them all time.'}, {'Product': 'Adjustable and Breathable Back Straps', 'Additional Info': 'The toddler backpack features two adjustable shoulder straps and a top handle that fit small children of all ages and allows you to comfortably and easily adjust this backpack to fit boys and girls of different sizes.'}]"
"['Care Instructions: Hand Wash Only', 'Fit Type: regular', 'Dimension:33 cms x20 cmsx 46 cms (LxWxh),45 liters; Number of Compartments:4 Laptop Compatibility: Up to 16 Inches<br>', 'Material:Polyester:Water Resistance Level:Waterproof<br>', 'Warranty Description: Manufacturer; 1 Year Domestic Warranty<br>', 'Special Features: LightWeight Strong stitching 2 Bottle Pocket Anti-Thift Backpack With Mesh Padding On Back to Provide Better Back Support<br>', 'Water Resistance Level: Water Resistant; Special Features: Expandable; Pattern Name: Solid; Age Range Description: Adult; Style Name: Daypack Backpacks; Closure Type: Zipper; Strap Type: Shoulder Strap; Pocket Description: Utility Pocket<br>']",13-BL-CLG-BAG,,"A Sporty Versatile School Laptop Collage Office Backpack From Fast Travel, Made Of Polyester. It Has a 3 opening Compartment & 2 For quick & easy access to essential While the mesh padding on the back panel will feel comfortable, even on a hot day. Stylish And Durable Backpack For Office School /College And Travel. Easily Accommodate A Laptop. Size: 46 Cm X 33 Cm X 20 Cm."
"['Care Instructions: Hand Wash Only', 'SPACIOUS AND LIGHTWEIGHT: Light weight & spacious laptop bag for men comes with 3 compartments. One is for carrying laptop inside (Upto 17""), with padding for safety, and space for laptop accessories like charger, etc. Second compartment of office bag for men is for books, files & all your day to day essentials. And third compartment of backpack for men is for your extra stuff. Laptop backpacks for men has provision for holding bottles on both sides & has padded shoulder straps for your comfort.', 'COMFORT WITH QUALITY: This backpack for men has Wide, Padded & Adjustable shoulder straps & Padded Back for comfort in carrying heavy items. The laptop bag for men is stitched properly & Bartacks on every pressure point for extra durability. The office bag for men are made with strong yet light weight polyester fabric with heavy zippers. College Bags for men also comes with a Rain cover so that you can travel during rainy season without any problem. This laptop bag can be used by everyone.', 'SMART & TRENDY LOOKS: This Large backpack for men is smart, trendy and stylish in looks. The multipurpose college bags for men looks smart, athletic and venturesome and the blend of grey and red makes it appear exquisite. Your hiking trips, mountaineering experience cannot get completed without this amazing trekking backpack. PREMIUM FABRIC : Premium Polyester, Stylish and durable backpack for school /college and travel. Easily accommodate a laptop. Size: 45 cm X 31 cm X 22 cm', 'ENDURING & LONG LASTING LAPTOP BACKPACK: This trekking backpack for men/laptop bag for men is made up of highly durable material, which makes it suitable for all weather conditions including rains & extreme scorching heat. It will not only keep the inside stuff safe but will also resist damage to itself. We have designed the bag keeping your comfort in mind. Shoulder has high density padding, with 3D ventilated air foam padding to prevent sweating & to help you lift heavy objects easily.', 'OTHER FEATURES OF LAPTOP BAG FOR MEN: The office bag for men / office bag for women has Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment (can carry laptops of size 13, 14, 15.6 & 17 inches), Reflector Logo.']",bag for men,,"[{'Product': 'Backpack for Every Needs', 'Additional Info': 'This MADE IN INDIA Product features 3 large zippered compartments, 2 water bottle /umbrella pockets, Rain cover, Laptop Compartment, Top padded Handle for comfort. Its ergonomics comfortable design makes you forget the load you are carrying,'}, {'Product': 'Spacious compartments', 'Additional Info': 'This casual backpack comes with three spacious zippered compartments which can accommodate your notebooks and other essentials with ease. Store your umbrella, notebooks and water bottle in this spacious bag and move around comfortably all day.'}, {'Product': 'Comfort & Quality', 'Additional Info': 'This casual bag has Wide, Padded and Adjustable shoulder straps and Padded Back for comfort in carrying heavy items. Stitched properly and Bartacks on every pressure point for extra durability.'}, {'Product': 'Rain / Dust Cover', 'Additional Info': 'This backpack includes a separate rain/dust cover which can be very handy. It keeps your valuables safe and secure from rain and dust and keeps the backpack neat and clean for a longer period of time.'}, {'Product': 'Proudly Made in India', 'Additional Info': ""Half Moon is proud to be an Indian Brand. We understand the importance of Indian manufacturing and supply chains. It is the time when we revive local industries that's why this bag is Made in India by Indians using Indian materials.""}, {'Product': 'Shipped Directly from Factory', 'Additional Info': 'Half Moon offers high-quality bags at the lowest prices. We offer bags directly from factory to the customer to provide the bag at lowest prices possible.'}]"
"['Care Instructions: Wipe with Damp Cloth', 'Fit Type: regular', 'Handcrafted with care and made up of premium quality robust material', 'Padded anti-theft laptop compartment fits up to 15.6"" Laptop and a tablet compartment; Zipper Pocket in front along with a slip In Pocket in front; Internal Organisers with a bottle holder on the side', 'Wrinkle free bag and 3x more water resistant with Rainproof zippers; Trolley sleeve to securely place the bags on the luggage; Comfortable Padded shoulder straps', 'GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596); 750 days of international warranty']",3500EBP1ONB,,[]
,3800EBP1BLK,,[]
"['Material Type : Nylon', 'Weight : 700 Gm ;Dimension : 35X18x25 CM(LxWxH) ADJUSTABLE STRAP : Belt length- 130CM.', 'Special Features - Messenger Bag zippered pockets (2 front side, 1 inner pocket, 2 main compartment)this Bag can be use as Tiffin bag.', 'Special Features - Messenger Bag zippered pockets (2 front side, 1 inner pocket, 2 main compartment)this Bag can be use as Tiffin bag.', 'Please Note : This Bag is Small and Use as a Tiffin or Lunch Bag as well as There is a Little Difference Between Photos and Reality in Bag', 'Disclaimer:To analyze the size accurately, kindly read the dimension and check with any scale available to you before placing order.']",B07GCLJTZF,,[]
,China,,"[{'Product': 'ORGANISED DESIGN', 'Additional Info': 'Spaced compartment with one separate soft sleeve to hold iPad, phone, or notebook. Spacious enough to store accessories like a camera or short trip essentials. Multiple interior organized pockets to hold money wallet, power bank, mobile, charger, pens, cable, etc. Soft adjustable single shoulder strap to relieve the stress of shoulder. A strong sturdy handle to carry the bag with ease.'}, {'Product': 'PREMIUM MATERIAL', 'Additional Info': 'This stylish chest bag is made of waterproof TPU material. Comes in a shell structure with a front Rhombus design.'}, {'Product': 'USB FEATURE', 'Additional Info': 'External USB port with built-in charging cable enables convenient charging by connecting your power bank with your electronic devices.'}]"
"['Non-Toxic and soft fabric good quality and washable', 'Soft and cuddly filling printed work', 'Soft toy school bag for kids, travelling bag, carry bag, picnic bag, teddy bag', 'Very attractive to make you have a good feeling all the time, gift this soft, smooth and cuddly teddy as a great gift to your loved one', 'trap Type: Shoulder Strap; Color Name: Red; Warranty Description: No Warranty; Water Resistance Level: Not Water Resistant; Closure Type: Zipper']",B07Y2BFJ1B,,"[{'Product': 'Comfortable for Kids', 'Additional Info': 'The toddler backpack features a friendly Cartoon Face, top hanging loop, crafted details, and a fun, matching zipper pull that’s designed for little hands.'}, {'Product': 'SPACIOUS COMPARTMENT', 'Additional Info': 'The backpack is designed in a form of which will be really treasured by your kid. The bright color is very eye catchy and your kid will love to carry with them all time.'}, {'Product': 'Adjustable and Breathable Back Straps', 'Additional Info': 'The toddler backpack features two adjustable shoulder straps and a top handle that fit small children of all ages and allows you to comfortably and easily adjust this backpack to fit boys and girls of different sizes.'}]"
"['➧ PREMIUM MATERIAL: This sling bag is made of high quality tough TPU material. Smooth, durable zippers and pullers and buckles.', '➧ MULTIPURPOSE STORAGE : One main compartment with a soft sleeves for storing Ipad,/Tablet hard disk. Organizer pocket for power bank, pens. Keyholder for important office and car keys. Can hold diary, office accessories, mobile, documents, headphones etc. Comes with soft padded single shoulder strap and sturdy handle for comfortable carrying. The shoulder includes a card pocket to store your office ID card or any credit/ debit card.', '➧ ANTI- THEFT DESIGN: One hidden vertical zipper pocket equips on the back to pack your money, wallet or important accessories. This invisible design increases the security of your belongings.', '➧ SIZE : Dimensions: 17 cms x 9 cms x 31 cms (LxWxH). Capacity: 5 Lit This single shoulder unisex sling bag is perfect to be carried for travel and office. Weight : 0.54 Kg.', '➧ USB FEATURE : External USB port with built-in charging cable enables convenient charging by connecting your power bank with your electronic devices.']",7256,,"[{'Product': 'PREMIUM-GRADE MATERIAL', 'Additional Info': 'This crossbody sling bag is made from high-quality TPU material which makes it tough and durable. The zippers, pullers, and buckles of this sling bag function smoothly.'}, {'Product': 'ANTI-THEFT PROTECTION', 'Additional Info': 'Innovatively crafted with an anti-theft design, this sling bag is equipped with one hidden vertical zipper pocket on the back to keep your money and wallet safe and secure.'}, {'Product': 'USB PORT', 'Additional Info': 'It makes for a great option for carrying your important stuff along with you and its external USB port has an inbuilt charging cable for conveniently charging your devices.'}]"
,B08X2KR6T9,,"[{'Product': 'DURABLE AND PREMIUM', 'Additional Info': 'Made with strong, water resistant Polyester fabric for a lightweight and durable finish. Our polestar backpack is designed thoughtfully for your perfect on the go lifestyle.'}, {'Product': 'ERGONOMIC DESIGN', 'Additional Info': 'Made for maximum Comfort, it has padded breathable mesh back and adjustable straps. S-curved Ergo-Grip straps that distribute weight evenly over your shoulders and back.'}, {'Product': 'VERSATILITY', 'Additional Info': 'We aim to provide optimal organisation with 3 main compartments, premium zippers, 2 front pocketS and 2 side water bottle pockets along with easy to carry top Loop.'}, {'Product': 'PREMIUM ZIPS', 'Additional Info': 'Premium quality zips that are durable for smooth operations.'}, {'Product': 'ELASTICATED STRAP LOCK', 'Additional Info': 'Elasticated Strap Lock secures your laptop or belongings in place.'}, {'Product': 'INNER POCKET', 'Additional Info': 'Inner Pocket allows for easy organisation of your things.'}]"
,KRYPTON17DFBLU,,Carry your gyml essentials effortlessly in style. Krypton is a lightweight and durable gym duffle bag with 25L of storage capacity. It is made out of premium polyester material to suit your gym requirements. The quick access front pocket makes your travel hassle free. Adjustable shoulder straps are provided along with dual handles for easy carriage of the bag. The color of the bag stands out in crowd and circular shape makes your gym bag look trendy.
,,,[]
"['Fit Type: regular', 'Italian Croco Vegan Leather Casual Backpack for Men and Women. This Backpack looks very stylish and has decent space for all your essentials', 'Ideal Application : Office Laptop Backpack , School Bag for Senior Classes 11th 12th , College University Beg , Bike Tourister Bags , Fashion Bags for Men Women , Daily Travel Use Bags.', 'Premium vegan leather laptop backpack for uber cool travellers as well as for office use and students. large compartment - with a dedicated laptop sleeve pocket for laptops upto 15.6 Inch and an additional pockets for tablets phones, power banks, keys, pens and other accessories.', 'Features : Single Large Compartment with Laptop Sleeve | Quick Access Front Pocket | Padded Shoulder Straps | 2 side Pockets.', '18 months manufacturing warranty']",PPLBTY655,,"[{'Product': 'High Quality Material & Water Resistant', 'Additional Info': 'This backpack is crafted from high quality artificial leather which makes it tough, durable and lasts for longer time. It is water-resistant and protect your belongings in all weather conditions.'}, {'Product': 'Premium Brass Hardware and Accessories.', 'Additional Info': 'All Hardware Fittings and Accessories are of top notch quality. Premium Feels at affordable Range'}, {'Product': 'Backpack Suitable For All Occasions', 'Additional Info': 'These backpacks are multipurpose and can be used in all occasions'}]"
,Iron-man_SMALL_SCHOOL BAG_0120,,[]
,plain-Tan,,"Enrich your look with this Tote Bag Mammon available on Amazon. Mammon offers handbags in every style, shape and color. It’s a perfect accessory for your outfits. Match it with pair of heels/sandals to give complete look."
"['Package Content: 1 Pc Woman Potli Bag', 'Color: Maroon, Material: Polyester and Dimension: 21x8x18 CM', 'This is enough to keep your accessories and all needed essentials and it can be a best gift for any woman', 'This potli is good match with both Indian and western outfits and are superb for wedding and festive parties. This would be best complement to your designer saree, lenhga or any other kind of dress', 'This is the combination of traditional and modern embroidery work and this potli bag makes you glamorous and unique among your friends']",B07NJ8J98M,0.23 Kilograms,[]
"['INNOVATIVE DESIGN: Utility of a Messenger Bag with Convenience of a Laptop Sleeve. The all new Informal is a versatile semi-formal laptop bag handcrafted to accommodate all your professional belongings. Material of Laptop Messenger Bag is Premium Canvas which is waterproof, YKK Zippers and Comfortable shoulder strap and grabs handles.', 'SPACIOUS: 2 compartments for up to a 15” laptop or tablet, hard disk, file, notebook, cheque book and other documents. 3 internal open pockets for a mobile phone, charger or a power bank and other utilities. 1 quick-access vertical zipper in the front.', 'TRAVEL FRIENDLY: The bag is made of soft and environmentally friendly materials with reinforced edges and good padding of the main compartment offer well protection for your laptop.', 'COMPATIBLE for all the major brands of 15.6"" Laptops', 'MADE IN INDIA with 1 Yr Warranty']",B07X6DV3VM,"AirCase, Istuff365, Godown No.H-3, Dharam Complex, Thane-421302",[]
"['100% waterproof material of the cover protects the backpack/luggage against water and dust (rain, spills, mud and more)', 'Elastic edges ensure a snug fit on the bag while the buckle holds the cover in place for optimal protection', 'Storable pouch allows you to conveniently store and carry the cover even when it is wet or soiled after use', 'Sized 50*35*10 cms and can fit backpacks for 17"" laptops']",Sol_Lgge_116,,"[{'Product': 'Snug Fit', 'Additional Info': 'The elastic added on the edges of the cover stretches over the sides of the backpack to provide a secure fit and prevents it from falling off. This provides better protection for bags of multiple sizes, upto ‘XX’ liters, against external agents like rain, dirt and splatter.'}, {'Product': 'Tear Resistant', 'Additional Info': 'The cover is made from robust material, which makes it durable for everyday use. You can use it daily without having to worry about the fabric tearing and getting worn out.'}, {'Product': 'Snug Fit', 'Additional Info': 'The elastic added on the edges of the cover stretches over the sides of the backpack to provide a secure fit and prevents it from falling off. This provides better protection for bags of multiple sizes, against external agents like rain, dirt and splatter.'}, {'Product': 'Buckle Fastening', 'Additional Info': 'An adjustable buckle added to the backpack cover prevents it from slipping. Adding a buckle as a back closure also allow the straps of the backpack to remain free, promoting ease of wearing the backpack as you ride a motorbike, or when you go on a walk or trek.'}]"
"['Care Instructions: Hand Wash Only', 'Unmatched Storage Capacity: With not one, but two spacious compartments and an adjustable compartment length, the Hercules backpack offers an incredible 55L of storage space, ensuring you can carry everything you need for your journey without compromise.', ""Ultimate Protection for Your Gear: We know how important your laptop is. That's why we've included a separate padded laptop compartment to keep your tech safe and secure during your travels. No more worries about scratches or damage!"", ""Comfort That Goes the Distance: Say goodbye to backaches and discomfort. The Hercules backpack is equipped with superior back padding, offering exceptional comfort during long journeys. It's like a personal cushion that travels with you."", 'Convenience at Your Fingertips: Stay hydrated and prepared for any weather with two water bottle/umbrella pockets & rain cover. The reflective logo and stylish front crisis cross design not only make you stand out but also enhance safety during nighttime adventures.', ""Built to Last: We've spared no expense in ensuring the durability of the Hercules backpack. With a metal zipper slider, rain cover, and a secret pocket at the bottom, your belongings stay safe, dry, and secure even in the harshest conditions.""]",HM_Herc55L_Black,,"The Half Moon ""Hercules"" 55L Traveling Backpack is your perfect travel companion! With its massive 55-liter capacity, this backpack ensures you have all the room you need for your adventures. Keep your laptop safe in the padded compartment, and enjoy unbeatable comfort thanks to the plush back padding. Stay hydrated with dedicated pockets for your water bottle or umbrella, and stay stylish with the reflective logo and trendy front design. Plus, the durable metal zipper slider, rain cover, and secret bottom pocket make this backpack a true travel essential. Get ready to explore the world with the Half Moon ""Hercules"" – your trusty partner for every journey!"
"['Durable Lightweight leatherette material - With a clean and stylish look that matches the Nautica brand, our cross body purse is the perfect bag for any occasion and with its nylon material it makes cleaning super easy and very lightweight', 'Made of High quality material, the bag is of a solid construction with sturdy stitching to protect against wear and tear. It has a strong two-way zipper closure which pulls without any resistance.', 'With Smooth and high quality zipper metal puller antique design enhanced the premium look.', 'NAUTICA Duffel Bag for Travel is a reliable piece that you can bring anywhere as an "" All - AROUND"" OR ""JUST IN CASE"" BAG.', 'Our priority is not just limited to exclusive designs, it is way beyond. Designing & crafting supreme quality product range is the only parameter that defines us.']",NTDUF4001BLK,,"[{'Product': 'Premium Material', 'Additional Info': 'Made of quality PU leather, the bag is of a solid construction with sturdy stitching to protect against wear and tear. It has a strong two-way zipper closure which pulls without any resistance.'}, {'Product': 'Premium Quality Zipper', 'Additional Info': 'With Smooth and high quality zipper metal puller antique design enhanced the premium look.'}, {'Product': 'Reinforced Fittings', 'Additional Info': 'Made of prime leatherette which ensures sturdiness and durability with premium quality reinforced fittings'}, {'Product': 'Smooth Edges', 'Additional Info': 'Our priority is not just limited to exclusive designs, it is way beyond. Designing & crafting supreme quality product range is the only parameter that defines us.'}]"
,China,,"[{'Product': '90° opening pocket:', 'Additional Info': 'The backpack have 6 pocket,the main pocket can contain 4-5 T-shirt?the laptop pocket can 90°opening can hold 15.6 inch laptop and the pocket division reasonable can meet your daily needs,double side pocket the one of is exclusive power bank?the other one you can place kettle, umbrella and so on,Two front pocket can meet your daily needs,You can place anything you have to have any small items, such as wallet, pen, convenient sign, etc'}, {'Product': 'Soft Padding and YKK Zippers', 'Additional Info': 'Our products have passed double QA quality inspection. laptop backpack adopt in durable YKK zipper,Multi-function shoulder straps with card pocket you can easily take your credit card, and have glasses hang bucks, so that you are free to find glasses, add your shoulder strap to make your outdoors'}, {'Product': 'ORGANISED DESIGN', 'Additional Info': 'Bange laptop backpack made of high-density coated oxford fabric not only waterproof and resistant but also scratch-resistant;Special Features: Laptop Compartment; Style Name: Modern; Age Range Description: Adult; Lining Description: Polyester; Material Type: Polyester'}]"
,,,[]
